ecoregion_name,ecoregion_description,ecoregion_id
ELLESMERE AND DEVON ISLANDS ICE CAPS,"This rugged, mountainous ecoregion occurs on Axel Heiberg, Ellesmere, and Devon islands and is characterized by very short, cold summers, low species diversity and sparse vegetative cover. Mean annual temperature is approximately -18.5°C. Mean summer temperature is -2°C and mean winter temperature ranges from -30°C to -35°C. Mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a high arctic ecoclimate. Clumps of moss, lichen, and cold-hardy vascular plants such as sedge and cottongrass are the dominant vegetation. Arctic willow and Dryas spp. occur infrequently. The ice-covered Grantland and Axel Heiberg mountains, reaching 2500 m asl, consist mainly of long ridges of folded Mesozoic and Palaeozoic strata with minor igneous intrusions. A belt of deeply dissected Precambrian crystalline rock extends along the eastern flanks of eastern Devon Island and Ellesmere Island south of Bache Peninsula. This ecoregion is underlain by continuous permafrost containing low ice content. Ice fields and nunataks are common. To the northwest, the mountains pass abruptly into a narrow, seaward-sloping plateau, and to the east, with decreasing ruggedness into the elevated dissected edge of Eureka Upland. The ranges and ridges are transected by numerous steep-walled valleys and fjords with glaciers. Regosolic Static and Regosolic Turbic Cryosols are dominant soils that have developed on colluvial, alluvial, and marine sediments. Characteristic wildlife includes arctic hare, arctic fox, lemming, muskox, and caribou. Polar bears are common in coastal areas. Representative birds include the king eider, rock ptarmigan, northern fulmar, ringed plover, hoary redpoll, and snow bunting. Marine mammals include the walrus, seal, and whale.",1
ELLESMERE AND DEVON ISLANDS ICE CAPS,"This rugged, mountainous ecoregion occurs on Axel Heiberg, Ellesmere, and Devon islands and is characterized by very short, cold summers, low species diversity and sparse vegetative cover. Mean annual temperature is approximately -18.5°C. Mean summer temperature is -2°C and mean winter temperature ranges from -30°C to -35°C. Mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a high arctic ecoclimate. Clumps of moss, lichen, and cold-hardy vascular plants such as sedge and cottongrass are the dominant vegetation. Arctic willow and Dryas spp. occur infrequently. The ice-covered Grantland and Axel Heiberg mountains, reaching 2500 m asl, consist mainly of long ridges of folded Mesozoic and Palaeozoic strata with minor igneous intrusions. A belt of deeply dissected Precambrian crystalline rock extends along the eastern flanks of eastern Devon Island and Ellesmere Island south of Bache Peninsula. This ecoregion is underlain by continuous permafrost containing low ice content. Ice fields and nunataks are common. To the northwest, the mountains pass abruptly into a narrow, seaward-sloping plateau, and to the east, with decreasing ruggedness into the elevated dissected edge of Eureka Upland. The ranges and ridges are transected by numerous steep-walled valleys and fjords with glaciers. Regosolic Static and Regosolic Turbic Cryosols are dominant soils that have developed on colluvial, alluvial, and marine sediments. Characteristic wildlife includes arctic hare, arctic fox, lemming, muskox, and caribou. Polar bears are common in coastal areas. Representative birds include the king eider, rock ptarmigan, northern fulmar, ringed plover, hoary redpoll, and snow bunting. Marine mammals include the walrus, seal, and whale.",2
ELLESMERE AND DEVON ISLANDS ICE CAPS,"This rugged, mountainous ecoregion occurs on Axel Heiberg, Ellesmere, and Devon islands and is characterized by very short, cold summers, low species diversity and sparse vegetative cover. Mean annual temperature is approximately -18.5°C. Mean summer temperature is -2°C and mean winter temperature ranges from -30°C to -35°C. Mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a high arctic ecoclimate. Clumps of moss, lichen, and cold-hardy vascular plants such as sedge and cottongrass are the dominant vegetation. Arctic willow and Dryas spp. occur infrequently. The ice-covered Grantland and Axel Heiberg mountains, reaching 2500 m asl, consist mainly of long ridges of folded Mesozoic and Palaeozoic strata with minor igneous intrusions. A belt of deeply dissected Precambrian crystalline rock extends along the eastern flanks of eastern Devon Island and Ellesmere Island south of Bache Peninsula. This ecoregion is underlain by continuous permafrost containing low ice content. Ice fields and nunataks are common. To the northwest, the mountains pass abruptly into a narrow, seaward-sloping plateau, and to the east, with decreasing ruggedness into the elevated dissected edge of Eureka Upland. The ranges and ridges are transected by numerous steep-walled valleys and fjords with glaciers. Regosolic Static and Regosolic Turbic Cryosols are dominant soils that have developed on colluvial, alluvial, and marine sediments. Characteristic wildlife includes arctic hare, arctic fox, lemming, muskox, and caribou. Polar bears are common in coastal areas. Representative birds include the king eider, rock ptarmigan, northern fulmar, ringed plover, hoary redpoll, and snow bunting. Marine mammals include the walrus, seal, and whale.",3
ELLESMERE AND DEVON ISLANDS ICE CAPS,"This rugged, mountainous ecoregion occurs on Axel Heiberg, Ellesmere, and Devon islands and is characterized by very short, cold summers, low species diversity and sparse vegetative cover. Mean annual temperature is approximately -18.5°C. Mean summer temperature is -2°C and mean winter temperature ranges from -30°C to -35°C. Mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a high arctic ecoclimate. Clumps of moss, lichen, and cold-hardy vascular plants such as sedge and cottongrass are the dominant vegetation. Arctic willow and Dryas spp. occur infrequently. The ice-covered Grantland and Axel Heiberg mountains, reaching 2500 m asl, consist mainly of long ridges of folded Mesozoic and Palaeozoic strata with minor igneous intrusions. A belt of deeply dissected Precambrian crystalline rock extends along the eastern flanks of eastern Devon Island and Ellesmere Island south of Bache Peninsula. This ecoregion is underlain by continuous permafrost containing low ice content. Ice fields and nunataks are common. To the northwest, the mountains pass abruptly into a narrow, seaward-sloping plateau, and to the east, with decreasing ruggedness into the elevated dissected edge of Eureka Upland. The ranges and ridges are transected by numerous steep-walled valleys and fjords with glaciers. Regosolic Static and Regosolic Turbic Cryosols are dominant soils that have developed on colluvial, alluvial, and marine sediments. Characteristic wildlife includes arctic hare, arctic fox, lemming, muskox, and caribou. Polar bears are common in coastal areas. Representative birds include the king eider, rock ptarmigan, northern fulmar, ringed plover, hoary redpoll, and snow bunting. Marine mammals include the walrus, seal, and whale.",4
BAFFIN MOUNTAINS,"This rugged, mountainous ecoregion of northeastern Baffin Island is characterized by low species diversity and sparse vegetative cover. A humid, extremely cold climate is marked by very short, cold summers. Mean annual temperature is approximately -11.5°C. Mean summer temperature is 1°C and mean winter temperature is -23°C. Mean annual precipitation is 200-400 mm overall with 400-600 mm centering around  the Cumberland Peninsula. This ecoregion is classified as having a high arctic ecoclimate. A discontinuous cover of mosses, lichens, and cold-hardy vascular plants such as sedge and cottongrass is the dominant vegetation. Baffin Mountains ecoregion is an elevated belt of deeply dissected crystalline rocks that extend along the northeastern flank of Baffin and Bylot islands. Ice-capped mountainous peaks reach 1525-2135 m asl. Sloping gently westward, the ecoregion's general aspect is one of a broad, gently warped, old erosion surface etched by erosion along joint systems and zones of weakness. Long arms of the sea penetrate as glacier-filled sounds or fjords; some cut through the highlands to Baffin Upland to the east. The ecoregion is underlain by deep, continuous permafrost with low ice content. Bare bedrock is common, and Turbic Cryosols developed on discontinuous colluvial, alluvial, and morainal deposits are the dominant soils. Characteristic wildlife includes arctic hare, arctic fox, lemming, and caribou. Polar bears are common in coastal areas. Representative birds include king eider, rock ptarmigan, northern fulmar, plover, hoary redpoll, and snow bunting. Marine mammals include walrus, seal, and whale. The principal activities include hunting and fishing. The first National Park in Canada above the Arctic Circle, Auyuittuq, was established in 1972 in the southern part of the ecoregion. The largest settlement is Broughton Island, and the population of the ecoregion is approximately 500.",5
BAFFIN ISLAND COASTAL LOWLANDS,"This ecoregion, borders on northeastern Baffin Island, has a sparse vegetative cover of mixed low-growing herbs and shrubs, consisting of moss, purple saxifrage, Dryas spp., arctic willow, kobresia, sedge, and arctic poppy. Wet sites can develop up to about 60% cover of wood rush, wire rush, and saxifrage, along with a nearly continuous cover of mosses. A humid, cold, arctic climate is marked by short, cold summers and long winters. Mean annual temperature is approximately -11.5°C. Mean summer temperature is 1°C and mean winter temperature is -22.5°C. Mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a high arctic ecoclimate. The ecoregion is up to 40 km wide, and is geologically composed of crystalline Precambrian massive rocks that occur as isolated outliers from peninsulas and fjords that extend out from the Davis Highlands. It is a gently warped, old erosion surface with discontinuous, ridged, and terraced surficial deposits. This ecoregion is underlain by deep, continuous permafrost with low ice content. Bare bedrock is common, and Turbic Cryosols on sandy colluvial, morainal, and marine deposits are the dominant soils. Characteristic wildlife includes arctic hare, arctic fox, lemming, and caribou. Polar bears are common in coastal areas. Representative birds include the king eider, rock ptarmigan, northern fulmar, plover, hoary redpoll, and snow bunting. Marine mammals include walrus, seal, and whale. The largest settlement is Clyde River, and the population of the ecoregion is approximately 600.",6
TORNGAT MOUNTAINS,"This mountainous ecoregion in northernmost Labrador has a humid, cold climate and is characterized by relatively short, cool, and moist summers and long, cold winters. Coastal ice and fog persist for longer periods than elsewhere along the Labrador coast. Mean annual temperature is approximately -6°C. The mean summer temperature is 4°C and the mean winter  temperature is -16.5°C. Mean annual precipitation is 400-700 mm with the higher values occurring in the high central elevations. This ecoregion is classified as having a low arctic ecoclimate. The region is characterized by a sparse cover of lichen, moss, arctic sedge, grass, and patches of arctic mixed evergreen and deciduous shrubs on sheltered, south-facing valley slopes. Unvegetated rock and tundra (alpine heath made up of lichens, mosses, and sedges) each comprise about 50% of upland surfaces. White birch/willow thickets growing on less stable scree frequently form a transition zone between tundra and very open spruce forests. Arctic black spruce with mixed evergreen and deciduous shrubs, and underlain by moss, is dominant on bogs and poorly drained sites. The ecoregion is composed of massive Archean granitic rocks, that form steep-sided, rounded mountains with deeply incised valleys and fjords along the Labrador sea coast. Glaciation has sculptured cirques, deep U-shaped valleys, and fjords. Hummocky, discontinuous, sandy, bouldery morainal deposits dominate the upland surfaces of the region. Steep slopes covered with talus and associated colluvial fans extend to valley floors. On the Quebec side of the boundary, permafrost is continuous and marked by sporadic ice wedges. On the eastern Atlantic side of  the boundary, permafrost is extensive but discontinuous. Acidic rock outcrops and Cryosolic soils are the dominant surface constituents. Turbic Cryosols are associated with patterned ground and boulder fields (felsenmeer). Additionally inclusions of Regosolic soils on colluvial fans, and Turbic and Organic Cryosols on valley floors also occur. The ecoregion provides habitat for small mammals and seasonal habitat for polar bear and caribou. There are no permanent communities.",7
ELLESMERE MOUNTAINS,"This ecoregion occurs on Ellesmere and Axel Heiberg islands and is characterized by low species diversity and sparse vegetative cover. Mean annual temperature is approximately -16°C. The mean summer temperature is -0.5°C and the mean winter temperature is -28.5°C. Mean annual precipitation ranges from less than 100 to 200 mm, with the greatest values falling in the Nansen Sound area. This ecoregion is classified as having a high arctic ecoclimate. Clumps of moss, lichen, and cold-hardy vascular plants such as sedge and cottongrass are the dominant vegetation. Arctic willow and Dryas spp. occur infrequently. The region occurs as two curving belts of mountainous terrain separated by the more subdued Eureka Upland. The first portion of the ecoregion lies along the northwest coasts of Ellesmere and Axel Heiberg islands (map polygon 8), where ice-covered mountains that can reach 2500 m asl are composed mainly of folded Mesozoic and Palaeozoic strata with minor igneous intrusions. Along the east coast of Ellesmere Island (map polygon 10), the mountains blend with decreasing ruggedness into the elevated dissected edge of Victoria and Albert mountains. The ranges and ridges are transected by numerous steep-walled valleys and fjords with glaciers. Continuous, low ice content permafrost occurs along the north and east coasts of Ellesmere Island. In the southern part of map polygon 8, the permafrost is continuous, and ice wedges and massive ice bodies are common. Regosolic Static and Regosolic Turbic Cryosols are the dominant soils that have developed on colluvial, alluvial, and marine sediments. Characteristic wildlife includes muskox, arctic hare, arctic fox, lemming, and caribou. Polar bears are common in coastal areas. Representative birds include king eider, rock ptarmigan, northern fulmar, plover, hoary redpoll, and snow bunting. Marine mammals include walrus, seal, and whale. There are no permanent settlements within the ecoregion, however there is some seasonal recreational land use activity associated with Ellesmere Island National Park Reserve.",8
EUREKA HILLS,"This ecoregion of modest relief occurs on Ellesmere and Axel Heiberg islands. The mean annual temperature is approximately -16.5°C. The mean summer temperature is 0.5°C and the mean winter temperature is -30.5°C. Mean annual precipitation ranges 50-150 mm. The lowest mean monthly temperature in Canada was recorded at the Eureka weather station in February 1973, as -47.9°C. This ecoregion is classified as having a high arctic ecoclimate. It has a sparse vegetative cover of moss, along with mixed low-growing herbs and shrubs, such as purple saxifrage, Dryas spp., arctic willow, kobresia, sedge, and arctic poppy. Topography is rolling and ridged, and controlled by underlying strata, reaching altitudes of generally less than 1000 m asl. Extensive areas of low, dissected plateaus and gently rolling uplands developed on Mesozoic and Tertiary sandstone and shale are cut by trenchlike depressions, often curving and sinuous, forming great dendritic drainage systems with floors that extend right to the coast.  Permafrost is continuous with medium ice content. The dominant soils are Regosolic Static Cryosols and Orthic Turbic Cryosols that have developed on colluvial, alluvial, and marine deposits. Characteristic wildlife includes muskox, arctic hare, arctic wolf, caribou, seal, polar bear, ptarmigan, and seabirds. The largest settlement in the region is Eureka, a weather station operated by the federal government. The northernmost settlement in Canada is the military station at Alert on the northeast coastline of Ellesmere Island, however none of the staff are considered permanent residents.",9
ELLESMERE MOUNTAINS,"This ecoregion occurs on Ellesmere and Axel Heiberg islands and is characterized by low species diversity and sparse vegetative cover. Mean annual temperature is approximately -16°C. The mean summer temperature is -0.5°C and the mean winter temperature is -28.5°C. Mean annual precipitation ranges from less than 100 to 200 mm, with the greatest values falling in the Nansen Sound area. This ecoregion is classified as having a high arctic ecoclimate. Clumps of moss, lichen, and cold-hardy vascular plants such as sedge and cottongrass are the dominant vegetation. Arctic willow and Dryas spp. occur infrequently. The region occurs as two curving belts of mountainous terrain separated by the more subdued Eureka Upland. The first portion of the ecoregion lies along the northwest coasts of Ellesmere and Axel Heiberg islands (map polygon 8), where ice-covered mountains that can reach 2500 m asl are composed mainly of folded Mesozoic and Palaeozoic strata with minor igneous intrusions. Along the east coast of Ellesmere Island (map polygon 10), the mountains blend with decreasing ruggedness into the elevated dissected edge of Victoria and Albert mountains. The ranges and ridges are transected by numerous steep-walled valleys and fjords with glaciers. Continuous, low ice content permafrost occurs along the north and east coasts of Ellesmere Island. In the southern part of map polygon 8, the permafrost is continuous, and ice wedges and massive ice bodies are common. Regosolic Static and Regosolic Turbic Cryosols are the dominant soils that have developed on colluvial, alluvial, and marine sediments. Characteristic wildlife includes muskox, arctic hare, arctic fox, lemming, and caribou. Polar bears are common in coastal areas. Representative birds include king eider, rock ptarmigan, northern fulmar, plover, hoary redpoll, and snow bunting. Marine mammals include walrus, seal, and whale. There are no permanent settlements within the ecoregion, however there is some seasonal recreational land use activity associated with Ellesmere Island National Park Reserve.",10
